eventid,begin_date,end_date,country_txt,region_txt,provstate,city,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,doubtterr,alternative_txt,multiple,success,suicide,targsubtype1_txt,corp1,natlty1_txt,targsubtype2_txt,corp2,natlty2_txt,targsubtype3_txt,corp3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weapsubtype1_txt,weapsubtype2,weapsubtype2_txt,weapsubtype3_txt,weapsubtype4_txt,nkill,nkillter,nwound,nwoundte,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome_txt,nreleased,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,weapon_biological,weapon_chemical,weapon_radiological,weapon_nuclear,weapon_firearms,weapon_explosives,weapon_fake weapons,weapon_incendiary,weapon_melee,weapon_vehicle,weapon_sabotage equipment,weapon_other,weapon_unknown,attack_assassination,attack_armed assault,attack_bombing/explosion,attack_hijacking,attack_hostage taking (barricade incident),attack_hostage taking (kidnapping),attack_facility/infrastructure attack,attack_unarmed assault,attack_unknown,target_business,target_government (general),target_police,target_military,target_abortion related,target_airports & aircraft,target_government (diplomatic),target_educational institution,target_food or water supply,target_journalists & media,target_maritime,target_ngo,target_other,target_private citizens & property,target_religious figures/institutions,target_telecommunication
202101010004,2021-01-01,2021-01-01,Egypt,Middle East & North Africa,North Sinai,Beir al-Abd,31.016779,33.008587,1,0,1,1,0,1,Insurgency/Guerilla Action,0.0,1,0,Military Transportation/Vehicle (excluding convoys),Egyptian Armed Forces,Egypt,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Remote Trigger,,,,,2.0,0.0,5.0,0.0,Unknown,,Vehicle damaged,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202101010005,2021-01-01,2021-01-01,India,South Asia,Jammu and Kashmir,Pampore,34.01023,74.917261,1,0,1,1,1,0,,0.0,1,0,"Police Building (headquarters, station, school)",Central Reserve Police Force (CRPF),India,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Grenade,,,,,0.0,0.0,0.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202101010006,2021-01-01,2021-01-01,Yemen,Middle East & North Africa,Al Hudaydah,Hudaydah,14.782391,42.973093,1,1,1,1,1,1,State Actors,0.0,1,0,"Procession/Gathering (funeral, wedding, birthday, religious)",Almansour Wedding Hall,Yemen,,,,,,,Houthi extremists (Ansar Allah),,,,,,1,,,0,-99,0,0,,,,,,,,,"Projectile (rockets, mortars, RPGs, etc.)",,,,,5.0,0.0,7.0,0.0,Minor (likely < $1 million),,Building damaged,0,0.0,,,,,,,,,,,,,START Primary Collection,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202101010009,2021-01-01,2021-01-01,Afghanistan,South Asia,Ghor,Feroz Koh,34.521315,65.249242,1,1,1,1,1,1,State Actors,0.0,1,0,Radio Journalist/Staff/Facility,Sadai Ghor Radio,Afghanistan,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Unknown Gun Type,,,,,1.0,0.0,0.0,0.0,Minor (likely < $1 million),,Vehicle damaged,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202101010024,2021-01-02,2021-01-02,Somalia,Sub-Saharan Africa,Lower Juba,Kismayo,-0.357847,42.546652,1,0,1,1,1,0,,0.0,1,0,Politician or Political Party Movement/Meeting/Rally,Government of Jubaland,Somalia,,,,,,,Al-Shabaab,,,,,,0,,,0,-99,0,1,"Posted to website, blog, etc.",,,,,,,,Sticky Bomb,,,,,1.0,0.0,0.0,0.0,Minor (likely < $1 million),,Vehicle damaged,0,0.0,,,,,,,,,,,,,START Primary Collection,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202101010025,2021-01-01,2021-01-01,India,South Asia,Jammu and Kashmir,Srinagar,34.083739,74.789903,1,0,1,1,1,0,,0.0,1,0,"Police Building (headquarters, station, school)",Sashastra Seema Bal (SSB),India,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Grenade,,,,,0.0,0.0,0.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202101020007,2021-01-02,2021-01-02,India,South Asia,Jammu and Kashmir,Tral,33.931013,75.114214,1,0,1,1,1,0,,0.0,1,0,Police Security Forces/Officers,Indo-Tibetan Border Police (ITBP),India,Unnamed Civilian/Unspecified,Not Applicable,India,,,,Hizbul Mujahideen (HM),,,,,,0,,,0,3,-99,0,,,,,,,,,Grenade,,,,,0.0,0.0,8.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,1,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
202101020009,2021-01-02,2021-01-02,Somalia,Sub-Saharan Africa,Lower Shebelle,Lafoole,2.099684,45.15723,1,0,1,1,1,0,,0.0,1,1,Police Security Forces/Officers,Somali Police Force (SPF),Somalia,Laborer (General)/Occupation Identified,Unknown,Turkey,,,,Al-Shabaab,,,,,,0,,,0,1,0,1,"Posted to website, blog, etc.",,,,,,,,Vehicle,,,,,6.0,1.0,14.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,0,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
202101020010,2021-01-02,2021-01-02,Afghanistan,South Asia,Badghis,Qala-i-Naw,34.990048,63.132541,1,0,1,1,0,1,Insurgency/Guerilla Action,0.0,1,0,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Afghanistan,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Unknown Gun Type,,,,,1.0,0.0,0.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202101020021,2021-01-02,2021-01-02,Syria,Middle East & North Africa,Al Hasakah,Hasakah,36.503594,40.740627,1,0,1,1,1,0,,0.0,1,0,Marketplace/Plaza/Square,Unknown,Syria,,,,,,,Shabiha of the Coast,,,,,,0,,,0,-99,0,0,,,,,,,,,Grenade,,,,,1.0,0.0,25.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202101030001,2021-01-03,2021-01-03,Somalia,Sub-Saharan Africa,Middle Shebelle,Balcad,2.359127,45.383671,1,0,1,1,1,0,,1.0,1,0,Police Checkpoint,Somali Police Force (SPF),Somalia,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Unknown Explosive Type,,,,,2.0,0.0,0.0,0.0,,,,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,"202101030001, 202101030002",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202101030002,2021-01-03,2021-01-03,Somalia,Sub-Saharan Africa,Middle Shebelle,Balcad,2.359127,45.383671,1,0,1,1,0,1,Insurgency/Guerilla Action,1.0,1,0,"Military Personnel (soldiers, troops, officers, forces)",Somali Armed Forces (SAF),Somalia,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Unknown Explosive Type,,,,,1.0,0.0,8.0,0.0,,,,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,"202101030001, 202101030002",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202101030003,2021-01-03,2021-01-03,Afghanistan,South Asia,Kabul,Kabul,34.523842,69.140304,1,0,1,1,0,1,Insurgency/Guerilla Action,0.0,1,0,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Afghanistan,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Unknown Gun Type,,,,,1.0,0.0,0.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202101030004,2021-01-03,2021-01-03,Afghanistan,South Asia,Kapisa,Mahmud Raqi,35.015114,69.348753,1,0,1,1,1,0,,0.0,0,0,"Government Personnel (excluding police, military)",National Ulema Council,Afghanistan,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Sticky Bomb,,,,,5.0,0.0,9.0,0.0,Minor (likely < $1 million),,Vehicle damaged,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202101030005,2021-01-03,2021-01-03,Afghanistan,South Asia,Ghazni,Ghazni,33.542623,68.41533,1,0,1,1,1,0,,0.0,1,0,"Police Building (headquarters, station, school)",Afghan Police,Afghanistan,,,,,,,Taliban,,,,,,0,,,0,-99,0,0,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,,0,0.0,,,,,,,,,,,,,START Primary Collection,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202101030006,2021-01-03,2021-01-03,Afghanistan,South Asia,Kunduz,Kunduz,36.70574,68.876969,1,0,1,1,1,0,,0.0,1,0,Police Patrol (including vehicles and convoys),Afghan Police,Afghanistan,,,,,,,Taliban,,,,,,0,,,0,-99,0,0,,,,,,,,,,,,,,1.0,0.0,2.0,0.0,Minor (likely < $1 million),,Vehicle damaged,0,0.0,,,,,,,,,,,,,START Primary Collection,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202101030007,2021-01-03,2021-01-03,Afghanistan,South Asia,Balkh,Mazari Sharif,36.70993,67.115696,1,0,1,1,1,0,,0.0,1,0,Laborer (General)/Occupation Identified,Not Applicable,Afghanistan,,,,,,,Unknown,,,,,,0,,,0,-99,0,0,,,,,,,,,Unknown Gun Type,,,,,1.0,0.0,0.0,0.0,None,0.0,,0,0.0,,,,,,,,,,,,,START Primary Collection,-9,-9,0,-9,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
